id,{address},{opcode},{phaseid},{graphid},{phase},GraphBuilder,Inlining,TypedLowering,LoopPeeling,LoadElimination,SimplifiedLowering,GenericLowering,EarlyOptimization,EffectControlLinearization,LateOptimization,MemoryOptimization,ComputeSchedule,Typer,EarlyGraphTrimming,EscapeAnalysis,StoreStoreElimination
9,0x555657da7628,0x001d,0,1,GraphBuilder,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,0x555657da9468,0x0033,0,1,GraphBuilder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,0x555657da94c8,0x0035,0,1,GraphBuilder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0x555657e339f8,0x0098,0,1,GraphBuilder,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,0x555657e34008,0x0025,0,1,GraphBuilder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,0x555de761ac80,0x003c,1,0,Inlining,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0x555de761ad60,0x001d,1,0,Inlining,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,0x555de761add0,0x00dc,1,0,Inlining,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0x555de761aef0,0x001d,1,0,Inlining,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0x555de761af78,0x00f1,1,0,Inlining,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
127,0x555de761b070,0x00ea,1,0,Inlining,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
128,0x555de761b120,0x001d,1,0,Inlining,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,0x555de761baf0,0x00ea,1,0,Inlining,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
132,0x555de761bbf8,0x0074,1,0,Inlining,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
133,0x555de761bc70,0x00d4,1,0,Inlining,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134,0x555de761bd20,0x001b,1,0,Inlining,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0x555de761bde0,0x00bf,1,0,Inlining,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0x555de761bf18,0x0088,1,0,Inlining,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
147,0x555de761c5f8,0x0075,1,0,Inlining,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,0x555de761c6a0,0x001d,1,0,Inlining,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0x555de761c8e0,0x00dc,1,0,Inlining,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,0x555de761c9e8,0x00f1,1,0,Inlining,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
137,0x555657e35fb8,0x0088,1,1,Inlining,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,0x555657e36698,0x0075,1,1,Inlining,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0x555de763c888,0x003c,6,0,TypedLowering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0x555de763d020,0x006f,6,0,TypedLowering,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
157,0x555de763d430,0x00ea,6,0,TypedLowering,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
158,0x555de763d808,0x001d,6,0,TypedLowering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0x555de763dbe8,0x001b,6,0,TypedLowering,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
161,0x555de763e5c0,0x001a,6,0,TypedLowering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0x555de763ea38,0x007b,6,0,TypedLowering,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
163,0x555de763f400,0x003c,7,0,LoopPeeling,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,0x555de763f780,0x007b,7,0,LoopPeeling,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
165,0x555de763fbd0,0x00ea,7,0,LoopPeeling,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
166,0x555de763ff78,0x00d4,7,0,LoopPeeling,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
167,0x555de763ffe0,0x0074,7,0,LoopPeeling,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
168,0x555de7640350,0x0108,7,0,LoopPeeling,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
171,0x555de7640af0,0x00ea,7,0,LoopPeeling,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
172,0x555de7640e98,0x00ea,7,0,LoopPeeling,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
175,0x555de7646c40,0x0088,7,0,LoopPeeling,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
180,0x555de7647bc8,0x0028,7,0,LoopPeeling,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
181,0x555de7647f58,0x0029,7,0,LoopPeeling,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,0x555de7648308,0x031e,7,0,LoopPeeling,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
183,0x555de76483d8,0x0028,7,0,LoopPeeling,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
184,0x555de7648798,0x0025,7,0,LoopPeeling,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
186,0x555de7648d10,0x0030,7,0,LoopPeeling,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
187,0x555de76490d8,0x0004,7,0,LoopPeeling,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
188,0x555de7649118,0x0005,7,0,LoopPeeling,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
189,0x555de7649170,0x0002,7,0,LoopPeeling,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,0x555de7649200,0x0072,7,0,LoopPeeling,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
191,0x555de76495f8,0x0028,7,0,LoopPeeling,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,0x555de7649988,0x0029,7,0,LoopPeeling,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
193,0x555de7649d20,0x0025,7,0,LoopPeeling,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
165,0x555657e56740,0x006f,7,1,LoopPeeling,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
167,0x555657e56e88,0x0039,7,1,LoopPeeling,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
183,0x555657e59cc0,0x0098,7,1,LoopPeeling,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
188,0x555657e5add0,0x0004,7,1,LoopPeeling,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
189,0x555657e5ae10,0x0005,7,1,LoopPeeling,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
194,0x555de7649e60,0x003c,8,0,LoadElimination,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,0x555de764ba38,0x0015,10,0,SimplifiedLowering,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,0x555de764bad8,0x0016,10,0,SimplifiedLowering,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
198,0x555de764bb80,0x002a,10,0,SimplifiedLowering,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
199,0x555de764bbc0,0x004d,10,0,SimplifiedLowering,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
202,0x555de764bcd8,0x003e,10,0,SimplifiedLowering,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
